cups_direccion,cups_municipio,cups_codigo_postal,cups_codigo,cups_distribuidor,fecha,consumo
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-01,11.0
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-02,8.19
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-03,9.64
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-04,8.02
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-05,5.52
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-06,7.35
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-07,8.19
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-08,4.63
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-09,8.8
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-10,7.46
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-11,8.27
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-12,9.9
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-13,6.12
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-14,7.0
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-15,6.06
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-16,8.6
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-17,9.89
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-18,7.46
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-19,8.3
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-20,9.09
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-21,7.09
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-22,5.65
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-23,7.45
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-24,16.27
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-25,16.0
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-26,14.1
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-27,8.8
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-28,10.01
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-29,9.95
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-09-30,12.86
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-01,15.06
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-02,11.55
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-03,12.75
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-04,9.93
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-05,8.42
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-06,12.57
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-07,9.95
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-08,10.5
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-09,12.09
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-10,12.56
"Carretera General 1-A, Garaje – Depósito Erjos – El Tanque","TANQUE, EL",38435,ES0031601010123001QZ0F,EDISTRIBUCIÓN,2022-10-11,12.59
